home_team,away_team,sport_title,commence_time,bookmaker_titles
Los Angeles Chargers,Cincinnati Bengals,NFL,2024-11-17T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Jets,Indianapolis Colts,NFL,2024-11-18T01:15:00Z,"['DraftKings', 'Caesars']"
Dallas Cowboys,Houston Texans,NFL,2024-11-19T01:15:00Z,"['DraftKings', 'Caesars']"
Cleveland Browns,Pittsburgh Steelers,NFL,2024-11-22T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Carolina Panthers,Kansas City Chiefs,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Chicago Bears,Minnesota Vikings,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars']"
Washington Commanders,Dallas Cowboys,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars']"
Indianapolis Colts,Detroit Lions,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars']"
Houston Texans,Tennessee Titans,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars']"
Miami Dolphins,New England Patriots,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars']"
New York Giants,Tampa Bay Buccaneers,NFL,2024-11-24T18:00:00Z,"['DraftKings', 'Caesars']"
Las Vegas Raiders,Denver Broncos,NFL,2024-11-24T21:05:00Z,"['DraftKings', 'Caesars']"
Seattle Seahawks,Arizona Cardinals,NFL,2024-11-24T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Green Bay Packers,San Francisco 49ers,NFL,2024-11-24T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,Philadelphia Eagles,NFL,2024-11-25T01:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Chargers,Baltimore Ravens,NFL,2024-11-26T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Detroit Lions,Chicago Bears,NFL,2024-11-28T17:30:00Z,"['DraftKings', 'Caesars', 'BetMGM']"
Dallas Cowboys,New York Giants,NFL,2024-11-28T21:30:00Z,"['DraftKings', 'Caesars', 'BetMGM']"
Green Bay Packers,Miami Dolphins,NFL,2024-11-29T01:20:00Z,"['DraftKings', 'Caesars', 'BetMGM']"
Kansas City Chiefs,Las Vegas Raiders,NFL,2024-11-29T20:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Minnesota Vikings,Arizona Cardinals,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Atlanta Falcons,Los Angeles Chargers,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars']"
Cincinnati Bengals,Pittsburgh Steelers,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Jacksonville Jaguars,Houston Texans,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars']"
New England Patriots,Indianapolis Colts,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New York Jets,Seattle Seahawks,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars']"
Washington Commanders,Tennessee Titans,NFL,2024-12-01T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Carolina Panthers,Tampa Bay Buccaneers,NFL,2024-12-01T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
New Orleans Saints,Los Angeles Rams,NFL,2024-12-01T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Baltimore Ravens,Philadelphia Eagles,NFL,2024-12-01T21:25:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Buffalo Bills,San Francisco 49ers,NFL,2024-12-02T01:20:00Z,"['DraftKings', 'Caesars']"
Denver Broncos,Cleveland Browns,NFL,2024-12-03T00:15:00Z,"['DraftKings', 'Caesars']"
Detroit Lions,Green Bay Packers,NFL,2024-12-06T01:15:00Z,"['DraftKings', 'Caesars']"
Minnesota Vikings,Atlanta Falcons,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars']"
Philadelphia Eagles,Carolina Panthers,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Pittsburgh Steelers,Cleveland Browns,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tennessee Titans,Jacksonville Jaguars,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Tampa Bay Buccaneers,Las Vegas Raiders,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Miami Dolphins,New York Jets,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars']"
New York Giants,New Orleans Saints,NFL,2024-12-08T18:00:00Z,"['DraftKings', 'Caesars']"
Arizona Cardinals,Seattle Seahawks,NFL,2024-12-08T21:05:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Los Angeles Rams,Buffalo Bills,NFL,2024-12-08T21:25:00Z,"['DraftKings', 'Caesars']"
San Francisco 49ers,Chicago Bears,NFL,2024-12-08T21:25:00Z,"['DraftKings', 'Caesars']"
Kansas City Chiefs,Los Angeles Chargers,NFL,2024-12-09T01:20:00Z,"['DraftKings', 'Caesars', 'BetUS']"
Dallas Cowboys,Cincinnati Bengals,NFL,2024-12-10T01:15:00Z,"['DraftKings', 'Caesars']"
San Francisco 49ers,Los Angeles Rams,NFL,2024-12-13T01:15:00Z,"['DraftKings', 'Caesars', 'BetUS']"
